review, label
Seorang S2 pasti penjelasanya selalu mengunakan Analog Tapi memang efektif sih  jadi lebih mengerti, positif
Pencairan dana lama kita lagi butuh tapi manajer investasi nya lelet sekali, negatif
berguna bagi seseorang yang ingin investati, positif
biayanya tergolong murah, positif
memiliki fitur yang menarik, positif
memudahkan investor untuk investasi, positif
caranya rumit, negatif
tidak perlu melakukan depost dana awal, posirif
aplikasinya asing, positif
bisa sukses dengan seksa dana, positif
cashbacknya banyak, positif
selalu ada kejutan, positif
mungkin membantu, positif
apa benar akan menjanjikan, positif
goblok Ini penipuan, negatif
aplikasinya asing sekali, negatif
apakah ini benar, positif
ini benar  ayo download dan investasi, positif
daftarnya ternyata mudah, positif
investasinya terjangkau, positif
bisa diakses di app store dan google play store, positif
bisa buka rekening tanpa deposit awal, positif
metode pembayarannya terbatas, positif
fitur jual beli sahas sangat terbatas, positif
sulit mengerti dengan aplikasinya, negatif
produk reksa dana terbatas curiga penipuan, negatif
bagi investor baru aplikasi sangat membingungkan, negatif
benar mendapatkan keuntungan, positif
keuntungannya benar atau tidak, positif
ini hal baru bagi saya saya ingin coba, positif
mari mencoba untuk investasi melalui reksa dana, positif
apakan reksa dana penipuan, positif
sulit dipercaya penipuan, negatif
aplikasinya sedikit jelek, negatif
banyak keuntungan melalui aplikasi ini, positif
diskon 20 persen, positif
ayo download dan investasi dengan bijak, positif
saya sudah gabung dan ini sangat membantupositif
kita akan mendapatkan keuntungan dari reksa dana, positif
jual beli reksa dana sangat mudah, positif
aplikasi mudah sekali digunakan, positif
ini penipuan, negatif
masih kurang paham dengan aplikasinya, positif
baru mencoba untuk investasi, positif
keuntungannya nyata, positif
aplikasi baru, positif
jual beli dan investasi, positif
berhasil sukses dengan saham di reksa dana, positif
apakah bisa menggunakan kartu pelajar untuk investasi, positif
terimakasih infonya sangan bermanfaat, positif
menggunakan ktp untuk validasi, positif
jual beli di aplikasi reksa dana sangat menyenangkan, positif
beli eceran dan dapat dana untuk tabungan, positif
sangat membantu bagi investor, positif
masukkan kode untuk dapat dana, positif
menu tambahan portopilionya tidak ada, positif
metode pembayarannya dengan berbagai metode, positif
ingin mencoba, positif
nabung per minggu atau per bulan, positif
tidak ada fitur setting di aplikasi bibi, positif
nabungnya harus rutin atau tidak, positif
jangan percaya ini penipuan, negatif
bisa tarik dana pensiun, positif
untuk inverstasi  satu tahun lebih baik langsung di lapangan, positif
portopolionya keren, positif
tidak bisa kalau tidak punya ktp, positif
caranya repot, negatif
uangnya sedikit, positif
bisa untung banyak atau tidak, positif
investasi di IPOT atau di bibit resa dana, positif
umur 16 bisa atau tidak, positif
cara ambil uangnya rumit, positif
saya ngestuck di pertanyaan tidak bisa registrasi dihalaman awal tolong segera diperbaiki, positif
cashback 25 RB, positif
Kok jelek tidak bisa mengisi pertanyan setelah klik register ya, negatif
Harus banyak di tingkatkan Lama banget prosesnya Sudah banyak keluhan tapi tetap aja lama, positif
Saya udah jual reksa dana nominal rupiah 200rb lebih tapi gak masuk masuk rekening gimana ini, positif
Sistem tarik dana yg sangat memakan waktu cukup lama (7 hari), negatif
kurang bagus setiap saya mau transsaksi sering keluar otomatis ya suka gagal terus, negatif
maaf sya kasih bintang 1, negatif
Tolonglah penarikan dana jangan sampai berhari2\-hari, positif
Apakah verifikasi oleh KSEI memang lama Saya udah 3 hari belum selesai, negatif
Kenapa tiba-tiba bibit saya tidak bisa login? Bacaannya network error,positif
Kenapa saat mau login aplikasinya loading ngga bisia di klik,positif
Prosesnya sangat lama mau beli aja nunggu dulu,positif
Susah banget dapet verifikasi code pas register, negatif
aplikasinya goblok, negatif
jual beli di reksa dana sangat menguntungkan, positif
mari investasi, positif
aplikasi sangat membantu, positif
terlalu ribet, positif
proses pencairan lemot, negatif
tidak bisa di andalkan untuk kebutuhan mendadak, negatif
merugikan kenapa begitu diinstal malah gak bisa dibuka sama sekali, negatif
Ayo daftarkan teman nanti dapet cashback eh udah ngajarin temen cashback tidak dapet aplikasi pembodohan public iklan mah keren pelayananya menipu Terimakasih, negatif
Pencairannya lama, negatif
uang masuk lagi ke rekening sangat lama tidak rekomen buat simpan uang, negatif
Dari segi pembelian lama dan penjualan lama apalagi cs nya lama respon apk apa ini tidak prioritas kan nasabah nya, negatif
saya mau jual aset sudah hampir seminggu belum masuk rekening, negatif
